"","Airline","FareVar","FareSD","CorFareDifnDays"
"35","6E",39511.2087912088,198.774265917922,-0.853912563829966
"36","SG",8355085.83866382,2890.5165349231,-0.552477284894381
"37","SG",783222.951180646,884.998842474184,-0.461371689956203
"38","SG",75992.1040037205,275.666653775389,0.140463683429616
"39","6E",218541.524091892,467.484250100356,-0.293661408607551
"40","6E",57976.4507462687,240.782995135181,-0.207736306887795
"41","6E",41297.3571428571,203.217511900075,-1
"42","SG",1001949.44474058,1000.97424779091,-0.30870247395527
"43","SG",51185.6444995864,226.242446281829,0.297968145481338
"44","SG",80322.7797422835,283.412737438322,-0.100378063813657
"45","SG",62495.0327169275,249.990065236456,0.320960770209976
"46","6E",1586104.67058675,1259.406475522,-0.441818693055916
"47","6E",2629036.19446821,1621.43029281811,-0.0947681184864708
"48","6E",1300958.30738523,1140.59559326925,-0.485834456316669
"49","G8",1729367.47334755,1315.0541712597,-0.4581142595614
"50","SG",745709.500923952,863.544730123432,-0.111468149009728
"51","6E",2073143.90788913,1439.84162597458,-0.62962603756598
"52","6E",3430795.75039662,1852.24073770032,-0.0188066208162073
"53","6E",807340.943892617,898.521532236494,0.144984479164844
"54","6E",1187145.85437979,1089.56223061365,-0.151523992295099
"55","6E",270404.879120879,520.004691441221,-0.280241913940892
"56","6E",794174.494456098,891.164684250952,0.167937201541168
"57","6E",1841722.4,1357.10073318085,-0.118652586428932
"58","6E",937816.616091954,968.409322596573,0.295904960400034
"59","G8",6165224.36659559,2482.98698478176,-0.290762519253953
"60","G8",292422.091431557,540.760660025817,-0.124337585942809
"61","G8",588251.558247355,766.975591689433,0.182597457192361
"62","SG",5322239.87206823,2306.99802168711,-0.495367409222571
"63","SG",727417.821606254,852.887930273523,-0.304275264532585
"64","6E",1036943.66367002,1018.30430798952,-0.138316423897143
"65","6E",733421.48323603,856.400305485717,-0.30515841908477
"66","6E",908454.181545948,953.128628017199,-0.45115873740357
"67","6E",142404.128002716,377.364714835285,-0.15597772559438
"68","6E",528150.61971831,726.739719375727,-0.119572822249124
"69","G8",2576520.89462676,1605.15447687341,-0.707002726536427
"70","G8",1285175.04686869,1133.65561211008,-0.654508282046051
"71","SG",833391.51189677,912.902794330684,-0.481357546226556
"72","6E",943449.191441441,971.313127390669,-0.260594525859915
"73","6E",788016.457795004,887.702910773083,-0.132840363899366
"74","6E",379730.448880823,616.222726683155,-0.130891659562457
"75","6E",976235.70288656,988.046407253505,-0.327952454284681
"76","6E",164682.564516129,405.810996051276,0.174060143284703
"77","6E",189675.484081633,435.51748998362,-0.305165225390927
"78","G8",270664.262573915,520.254036576282,0.0222284329541778
"79","G8",444760.313001046,666.903526007357,0.055485827369081
"80","G8",401553.730812325,633.682673593278,-0.317022862565963
"81","G8",288268.422764228,536.906344499884,-0.559792896077555
